Mobile Name,Price
Xiaomi 13 Pro (12/256GB),"NPR 129,999/-"
Redmi Note 13 4G (6/128GB),"NPR 24,999/-"
Redmi 13C (6/128GB),"NPR 15,999/-"
Redmi A3 (4/128GB),"NPR 12,999/-"
Redmi A2 (2/32GB),"NPR 10,499/-"
Galaxy Z Fold 5 (12/256GB),"NPR  226,999/-"
Galaxy A55 5G (12/256GB),"NPR 67,999/-"
Galaxy A24 (8/128 GB),"NPR 31,999/-"
iPhone 15 Pro Max (256GB),"NPR 214,300/-"
iPhone 15 Pro (128GB),"NPR 176,500/-"
iPhone 14 (128GB),"NPR 114,000/-"
iPhone 13 (128GB),"NPR 95,000/-"
iPhone 12 (128GB),"NPR 85,100/-"
Vivo V30 5G (12/256GB),"NPR 60,999/-"
Vivo V30 Lite (8/256GB),"NPR 33,999/-"
Vivo Y36 (8/256GB),"NPR 26,999/-"
Vivo Y17s (6/128GB),"NPR 17,999/-"
Vivo Y02 (2/32GB),"NPR 11,999/-"
Realme GT 2 Pro (12/256GB),"NPR 109,999/-"
Realme 11 Pro (8/256GB),"NPR 47,999/-"
Realme 10 Pro+ (8/128GB),"NPR 45,999/-"
Realme 9i 5G (6/128GB),"NPR 29,999/-"
Realme C51 (4/128GB),"NPR 14,499"
Xiaomi 13 Pro (12/256GB),"NPR 129,999/-"
Redmi Note 13 4G (6/128GB),"NPR 24,999/-"
Redmi 13C (6/128GB),"NPR 15,999/-"
Redmi A3 (4/128GB),"NPR 12,999/-"
Redmi A2 (2/32GB),"NPR 10,499/-"
Galaxy Z Fold 5 (12/256GB),"NPR  226,999/-"
Galaxy A55 5G (12/256GB),"NPR 67,999/-"
Galaxy A24 (8/128 GB),"NPR 31,999/-"
iPhone 15 Pro Max (256GB),"NPR 214,300/-"
iPhone 15 Pro (128GB),"NPR 176,500/-"
iPhone 14 (128GB),"NPR 114,000/-"
iPhone 13 (128GB),"NPR 95,000/-"
iPhone 12 (128GB),"NPR 85,100/-"
Vivo V30 5G (12/256GB),"NPR 60,999/-"
Vivo V30 Lite (8/256GB),"NPR 33,999/-"
Vivo Y36 (8/256GB),"NPR 26,999/-"
Vivo Y17s (6/128GB),"NPR 17,999/-"
Vivo Y02 (2/32GB),"NPR 11,999/-"
Realme GT 2 Pro (12/256GB),"NPR 109,999/-"
Realme 11 Pro (8/256GB),"NPR 47,999/-"
Realme 10 Pro+ (8/128GB),"NPR 45,999/-"
Realme 9i 5G (6/128GB),"NPR 29,999/-"
Realme C51 (4/128GB),"NPR 14,499"
Xiaomi 13 Pro (12/256GB),"NPR 129,999/-"
Redmi Note 13 4G (6/128GB),"NPR 24,999/-"
Redmi 13C (6/128GB),"NPR 15,999/-"
Redmi A3 (4/128GB),"NPR 12,999/-"
Redmi A2 (2/32GB),"NPR 10,499/-"
Galaxy Z Fold 5 (12/256GB),"NPR  226,999/-"
Galaxy A55 5G (12/256GB),"NPR 67,999/-"
Galaxy A24 (8/128 GB),"NPR 31,999/-"
iPhone 15 Pro Max (256GB),"NPR 214,300/-"
iPhone 15 Pro (128GB),"NPR 176,500/-"
iPhone 14 (128GB),"NPR 114,000/-"
iPhone 13 (128GB),"NPR 95,000/-"
iPhone 12 (128GB),"NPR 85,100/-"
Vivo V30 5G (12/256GB),"NPR 60,999/-"
Vivo V30 Lite (8/256GB),"NPR 33,999/-"
Vivo Y36 (8/256GB),"NPR 26,999/-"
Vivo Y17s (6/128GB),"NPR 17,999/-"
Vivo Y02 (2/32GB),"NPR 11,999/-"
Realme GT 2 Pro (12/256GB),"NPR 109,999/-"
Realme 11 Pro (8/256GB),"NPR 47,999/-"
Realme 10 Pro+ (8/128GB),"NPR 45,999/-"
Realme 9i 5G (6/128GB),"NPR 29,999/-"
Realme C51 (4/128GB),"NPR 14,499"
